full_name,google_scholar_id,google_scholar
Harold Ishebabi,_3bDtx4AAAAJ,https://scholar.google.com/citations?hl=en&user=_3bDtx4AAAAJ
Hwajeong Seo,NJTYsz0AAAAJ,https://scholar.google.com/citations?hl=en&user=NJTYsz0AAAAJ
Mahabir Prasad Jhanwar,imkeUdYAAAAJ,https://scholar.google.com/citations?hl=en&user=imkeUdYAAAAJ
Yosi Ben Asher,4szBC0IAAAAJ,https://scholar.google.com/citations?hl=en&user=4szBC0IAAAAJ
Stephan Menzel,M7QDpw8AAAAJ,https://scholar.google.com/citations?hl=en&user=M7QDpw8AAAAJ
Somitra Sanadhya,SZD5gEoAAAAJ,https://scholar.google.com/citations?hl=en&user=SZD5gEoAAAAJ
Thomas Peyrin,JUXrVDIAAAAJ,https://scholar.google.com/citations?hl=en&user=JUXrVDIAAAAJ
Mathias Soeken,_J9JPrAAAAAJ,https://scholar.google.com/citations?hl=en&user=_J9JPrAAAAAJ
James Howe,LItUNn4AAAAJ,https://scholar.google.com/citations?hl=en&user=LItUNn4AAAAJ
Kyungbae Jang,4lFXOOIAAAAJ,https://scholar.google.com/citations?hl=en&user=4lFXOOIAAAAJ
Arvind Easwaran,B_ouhTgAAAAJ,https://scholar.google.com/citations?hl=en&user=B_ouhTgAAAAJ
Akhilesh Siddhanti,Zch9DXMAAAAJ,https://scholar.google.com/citations?hl=en&user=Zch9DXMAAAAJ
Abdullah Ash Saki,b0OrC3sAAAAJ,https://scholar.google.com/citations?hl=en&user=b0OrC3sAAAAJ
Mahabubul Alam,wdwoHuMAAAAJ,https://scholar.google.com/citations?hl=en&user=wdwoHuMAAAAJ
Vishnu Asutosh Dasu,vI64X6EAAAAJ,https://scholar.google.com/citations?hl=en&user=vI64X6EAAAAJ
Srijit Dutta,Y5AG9r4AAAAJ,https://scholar.google.com/citations?hl=en&user=Y5AG9r4AAAAJ
Dr. Laxmidhar Biswal,P-wVX4kAAAAJ,https://scholar.google.com/citations?hl=en&user=P-wVX4kAAAAJ
WONJOO KIM,DFSLQcoAAAAJ,https://scholar.google.com/citations?hl=en&user=DFSLQcoAAAAJ
Annelie Heuser,jywIaDoAAAAJ,https://scholar.google.com/citations?hl=en&user=jywIaDoAAAAJ
Mohammad Nasim Imtiaz Khan,D7ic7hMAAAAJ,https://scholar.google.com/citations?hl=en&user=D7ic7hMAAAAJ
Jeremy Constantin,3xjPqMMAAAAJ,https://scholar.google.com/citations?hl=en&user=3xjPqMMAAAAJ
Sushmita Ruj,_u0snzYAAAAJ,https://scholar.google.com/citations?hl=en&user=_u0snzYAAAAJ
Subhra Mazumdar,uoWVp-QAAAAJ,https://scholar.google.com/citations?hl=en&user=uoWVp-QAAAAJ
Dr. Chandan Bandyopadhyay,GhJ3OkcAAAAJ,https://scholar.google.com/citations?hl=en&user=GhJ3OkcAAAAJ
Sarani Bhattacharya,MYJwVyAAAAAJ,https://scholar.google.com/citations?hl=en&user=MYJwVyAAAAAJ
Ronny Ronen,DdgLjsoAAAAJ,https://scholar.google.com/citations?hl=en&user=DdgLjsoAAAAJ
Shahar Kvatinsky,6KHkduEAAAAJ,https://scholar.google.com/citations?hl=en&user=6KHkduEAAAAJ
Luciano Lavagno,tRCNWC4AAAAJ,https://scholar.google.com/citations?hl=en&user=tRCNWC4AAAAJ
Yuval Elovici,ruZDm9QAAAAJ,https://scholar.google.com/citations?hl=en&user=ruZDm9QAAAAJ
Swagata Mandal,qCzxYPUAAAAJ,https://scholar.google.com/citations?hl=en&user=qCzxYPUAAAAJ
Hyunji Kim,nmjrkxYAAAAJ,https://scholar.google.com/citations?hl=en&user=nmjrkxYAAAAJ
Amlan Chakrabarti,LTSiNggAAAAJ,https://scholar.google.com/citations?hl=en&user=LTSiNggAAAAJ
Chao Chen,kP6ZzFkAAAAJ,https://scholar.google.com/citations?hl=en&user=kP6ZzFkAAAAJ
Rakesh Das,EXmhIJsAAAAJ,https://scholar.google.com/citations?hl=en&user=EXmhIJsAAAAJ
Santanu Sarkar,yIZ9xYIAAAAJ,https://scholar.google.com/citations?hl=en&user=yIZ9xYIAAAAJ
Oliver Keszöcze,mGiqyPMAAAAJ,https://scholar.google.com/citations?hl=en&user=mGiqyPMAAAAJ
Owen Noel Newton Fernando,Rog8AvUAAAAJ,https://scholar.google.com/citations?hl=en&user=Rog8AvUAAAAJ
Christoph Krauß,WW-dGF4AAAAJ,https://scholar.google.com/citations?hl=en&user=WW-dGF4AAAAJ
Mridul Nandi,WUzh8tgAAAAJ,https://scholar.google.com/citations?hl=en&user=WUzh8tgAAAAJ
avik chakraborti,El2XKAYAAAAJ,https://scholar.google.com/citations?hl=en&user=El2XKAYAAAAJ
Matthias Gries,y23Gnn8AAAAJ,https://scholar.google.com/citations?hl=en&user=y23Gnn8AAAAJ
Kurt Keutzer,ID9QePIAAAAJ,https://scholar.google.com/citations?hl=en&user=ID9QePIAAAAJ
"Amartya Sanyal, Ph.D.",oOaYy6AAAAAJ,https://scholar.google.com/citations?hl=en&user=oOaYy6AAAAAJ
Donghoon Chang,v0coc0YAAAAJ,https://scholar.google.com/citations?hl=en&user=v0coc0YAAAAJ
Debapriya Basu Roy,bVX8VCoAAAAJ,https://scholar.google.com/citations?hl=en&user=bVX8VCoAAAAJ
Zakaria Najm,V6s1HowAAAAJ,https://scholar.google.com/citations?hl=en&user=V6s1HowAAAAJ
Bhabani Sinha,-M0k_ecAAAAJ,https://scholar.google.com/citations?hl=en&user=-M0k_ecAAAAJ
efraim rotem,fkFQ4DcAAAAJ,https://scholar.google.com/citations?hl=en&user=fkFQ4DcAAAAJ
Tim Güneysu,QrXiIS0AAAAJ,https://scholar.google.com/citations?hl=en&user=QrXiIS0AAAAJ
Stjepan Picek,C1enS8IAAAAJ,https://scholar.google.com/citations?hl=en&user=C1enS8IAAAAJ
Kunal Korgaonkar,HZq-WzsAAAAJ,https://scholar.google.com/citations?hl=en&user=HZq-WzsAAAAJ
Mohamed M. Sabry Aly,eCo7XWkAAAAJ,https://scholar.google.com/citations?hl=en&user=eCo7XWkAAAAJ
Romain Poussier,pkVi3IMAAAAJ,https://scholar.google.com/citations?hl=en&user=pkVi3IMAAAAJ
B Srinivasu,Ofkv7AoAAAAJ,https://scholar.google.com/citations?hl=en&user=Ofkv7AoAAAAJ
Abhisek Ukil,y03-j4cAAAAJ,https://scholar.google.com/citations?hl=en&user=y03-j4cAAAAJ
Sumanta Bose,7ISycOUAAAAJ,https://scholar.google.com/citations?hl=en&user=7ISycOUAAAAJ
Arnab Sinha,6-1BTBgAAAAJ,https://scholar.google.com/citations?hl=en&user=6-1BTBgAAAAJ
Gerhard W Dueck,lozv7bIAAAAJ,https://scholar.google.com/citations?hl=en&user=lozv7bIAAAAJ
Enes Pasalic,BzfYWQ4AAAAJ,https://scholar.google.com/citations?hl=en&user=BzfYWQ4AAAAJ
Muhammad Shafique,xSR276UAAAAJ,https://scholar.google.com/citations?hl=en&user=xSR276UAAAAJ
Alok Prakash,wq1-zd0AAAAJ,https://scholar.google.com/citations?hl=en&user=wq1-zd0AAAAJ
Kaushik Chakraborty,X0xJXZ0AAAAJ,https://scholar.google.com/citations?hl=en&user=X0xJXZ0AAAAJ
Sikhar Patranabis,uZ6dDO4AAAAJ,https://scholar.google.com/citations?hl=en&user=uZ6dDO4AAAAJ
Torsten Kempf,EQrq6xkAAAAJ,https://scholar.google.com/citations?hl=en&user=EQrq6xkAAAAJ
Hao Yu （余浩）,X06MaeYAAAAJ,https://scholar.google.com/citations?hl=en&user=X06MaeYAAAAJ
Alexander Fell,OBn0xd8AAAAJ,https://scholar.google.com/citations?hl=en&user=OBn0xd8AAAAJ
Tejas Naphade,DQeTl70AAAAJ,https://scholar.google.com/citations?hl=en&user=DQeTl70AAAAJ
Paolo Bientinesi,G6Z5vx8AAAAJ,https://scholar.google.com/citations?hl=en&user=G6Z5vx8AAAAJ
Md. Mazder Rahman,vAMt0LMAAAAJ,https://scholar.google.com/citations?hl=en&user=vAMt0LMAAAAJ
Takashi Sato,KXHeUMcAAAAJ,https://scholar.google.com/citations?hl=en&user=KXHeUMcAAAAJ
Yuanwen Huang,slJdrTgAAAAJ,https://scholar.google.com/citations?hl=en&user=slJdrTgAAAAJ
Ansuman Banerjee,rGFo1TQAAAAJ,https://scholar.google.com/citations?hl=en&user=rGFo1TQAAAAJ
Subhadeep Banik,AwNjLZcAAAAJ,https://scholar.google.com/citations?hl=en&user=AwNjLZcAAAAJ
Rajat Subhra Chakraborty,ITIg9kkAAAAJ,https://scholar.google.com/citations?hl=en&user=ITIg9kkAAAAJ
Chadlia Jerad,eOCrdBYAAAAJ,https://scholar.google.com/citations?hl=en&user=eOCrdBYAAAAJ
Christof Paar,w81afLAAAAAJ,https://scholar.google.com/citations?hl=en&user=w81afLAAAAAJ
Christian Rechberger,0HMdWcUAAAAJ,https://scholar.google.com/citations?hl=en&user=0HMdWcUAAAAJ
Luechao Yuan,BE_hXMoAAAAJ,https://scholar.google.com/citations?hl=en&user=BE_hXMoAAAAJ
Alexandru Amaricai,SnzPEh0AAAAJ,https://scholar.google.com/citations?hl=en&user=SnzPEh0AAAAJ
Marius Marcu,riTu_HgAAAAJ,https://scholar.google.com/citations?hl=en&user=riTu_HgAAAAJ
Erik Cambria,ilSYpW0AAAAJ,https://scholar.google.com/citations?hl=en&user=ilSYpW0AAAAJ
Bappaditya Mandal,PKTrDwoAAAAJ,https://scholar.google.com/citations?hl=en&user=PKTrDwoAAAAJ
Rajat Sen,YzsCLBoAAAAJ,https://scholar.google.com/citations?hl=en&user=YzsCLBoAAAAJ
Deblin Bagchi,LAIkmDUAAAAJ,https://scholar.google.com/citations?hl=en&user=LAIkmDUAAAAJ
Mohammad Mostafizur Rahman Mozumdar,9w-4wH4AAAAJ,https://scholar.google.com/citations?hl=en&user=9w-4wH4AAAAJ
Baishik Biswas,xCstS74AAAAJ,https://scholar.google.com/citations?hl=en&user=xCstS74AAAAJ
Waheed Ahmed,rQIt1aEAAAAJ,https://scholar.google.com/citations?hl=en&user=rQIt1aEAAAAJ
Muhammad Hassan,XsukB1AAAAAJ,https://scholar.google.com/citations?hl=en&user=XsukB1AAAAAJ
Georgios Karakonstantis,0ocbGIqEN7UC,https://scholar.google.com/citations?hl=en&user=0ocbGIqEN7UC
Dr. Vikas Rana,iAjXhyYAAAAJ,https://scholar.google.com/citations?hl=en&user=iAjXhyYAAAAJ
Rajeswari Devadoss,n4qg824AAAAJ,https://scholar.google.com/citations?hl=en&user=n4qg824AAAAJ
Nahian Chowdhury,iUO_C1MAAAAJ,https://scholar.google.com/citations?hl=en&user=iUO_C1MAAAAJ
Karl Aberer,ifU81ikAAAAJ,https://scholar.google.com/citations?hl=en&user=ifU81ikAAAAJ
Frederique Oggier,R2RXB7QAAAAJ,https://scholar.google.com/citations?hl=en&user=R2RXB7QAAAAJ
Manfred Hauswirth,WwjTJ3YAAAAJ,https://scholar.google.com/citations?hl=en&user=WwjTJ3YAAAAJ
Aixin Sun 孙爱欣,wyKGVKUAAAAJ,https://scholar.google.com/citations?hl=en&user=wyKGVKUAAAAJ
Krzysztof Rzadca,ctiDQxUAAAAJ,https://scholar.google.com/citations?hl=en&user=ctiDQxUAAAAJ
Sonja Buchegger,AABgNmoAAAAJ,https://scholar.google.com/citations?hl=en&user=AABgNmoAAAAJ
Ee-Peng Lim,r0wOAikAAAAJ,https://scholar.google.com/citations?hl=en&user=r0wOAikAAAAJ
Chenliang Li,p4RNNCQAAAAJ,https://scholar.google.com/citations?hl=en&user=p4RNNCQAAAAJ
Rajesh Sharma,GKegbo0AAAAJ,https://scholar.google.com/citations?hl=en&user=GKegbo0AAAAJ
Le Hung Vu,c1PpvSoAAAAJ,https://scholar.google.com/citations?hl=en&user=c1PpvSoAAAAJ
Lluis Pamies-Juarez,aw2hVwkAAAAJ,https://scholar.google.com/citations?hl=en&user=aw2hVwkAAAAJ
Philippe Cudre-Mauroux,NpccCXwAAAAJ,https://scholar.google.com/citations?hl=en&user=NpccCXwAAAAJ
Tien Tuan Anh Dinh,224X-HoAAAAJ,https://scholar.google.com/citations?hl=en&user=224X-HoAAAAJ
Adam Wierzbicki,8uVLm1kAAAAJ,https://scholar.google.com/citations?hl=en&user=8uVLm1kAAAAJ
Alberto Montresor,1Z5aqBAAAAAJ,https://scholar.google.com/citations?hl=en&user=1Z5aqBAAAAAJ
Pedro Garcia Lopez,aaNVZ1oAAAAJ,https://scholar.google.com/citations?hl=en&user=aaNVZ1oAAAAJ
Sarunas Girdzijauskas,mhqpsO4AAAAJ,https://scholar.google.com/citations?hl=en&user=mhqpsO4AAAAJ
Adriana Iamnitchi,BfrPSGIAAAAJ,https://scholar.google.com/citations?hl=en&user=BfrPSGIAAAAJ
Marinho Barcellos,gYziq3EAAAAJ,https://scholar.google.com/citations?hl=en&user=gYziq3EAAAAJ
Pascal Felber,Rl7te6EAAAAJ,https://scholar.google.com/citations?hl=en&user=Rl7te6EAAAAJ
Dick Epema,uls6Q9UAAAAJ,https://scholar.google.com/citations?hl=en&user=uls6Q9UAAAAJ
Etienne Rivière,DacqieAAAAAJ,https://scholar.google.com/citations?hl=en&user=DacqieAAAAAJ
Teruo Higashino,Mfk7yhAAAAAJ,https://scholar.google.com/citations?hl=en&user=Mfk7yhAAAAAJ
Kyumars Sheykh Esmaili,R1DwUfAAAAAJ,https://scholar.google.com/citations?hl=en&user=R1DwUfAAAAAJ
Silvia Quarteroni,RHRbxr0AAAAJ,https://scholar.google.com/citations?hl=en&user=RHRbxr0AAAAJ
Christian von der Weth,vWqDaykAAAAJ,https://scholar.google.com/citations?hl=en&user=vWqDaykAAAAJ
Thorsten Strufe,-2ilOF4AAAAJ,https://scholar.google.com/citations?hl=en&user=-2ilOF4AAAAJ
Ertem Esiner,tYs48KgAAAAJ,https://scholar.google.com/citations?hl=en&user=tYs48KgAAAAJ
Stefano Braghin,ZFCg3K8AAAAJ,https://scholar.google.com/citations?hl=en&user=ZFCg3K8AAAAJ
J Harshan,kv_Ko5sAAAAJ,https://scholar.google.com/citations?hl=en&user=kv_Ko5sAAAAJ
anthony ventresque,I16yTcgAAAAJ,https://scholar.google.com/citations?hl=en&user=I16yTcgAAAAJ
Tomasz Kaszuba,C2SN9doAAAAJ,https://scholar.google.com/citations?hl=en&user=C2SN9doAAAAJ
Di Wu,guhA4VoAAAAJ,https://scholar.google.com/citations?hl=en&user=guhA4VoAAAAJ
Matteo Dell'Amico,Jo2IUSYAAAAJ,https://scholar.google.com/citations?hl=en&user=Jo2IUSYAAAAJ
Pietro Michiardi,mlx1eCgAAAAJ,https://scholar.google.com/citations?hl=en&user=mlx1eCgAAAAJ
Anupama Aggarwal,Ocz4S9oAAAAJ,https://scholar.google.com/citations?hl=en&user=Ocz4S9oAAAAJ
"Ponnurangam Kumaraguru ""PK""",MfzQyP8AAAAJ,https://scholar.google.com/citations?hl=en&user=MfzQyP8AAAAJ
Indira Sen,qXzr-p8AAAAJ,https://scholar.google.com/citations?hl=en&user=qXzr-p8AAAAJ
Dr. Shakshi Sharma,QUJ3LHMAAAAJ,https://scholar.google.com/citations?hl=en&user=QUJ3LHMAAAAJ
Wojciech Galuba,jyaTX64AAAAJ,https://scholar.google.com/citations?hl=en&user=jyaTX64AAAAJ
Hock Hee Ang,Jnqfu2cAAAAJ,https://scholar.google.com/citations?hl=en&user=Jnqfu2cAAAAJ
Piotr Skowron,HKy4T5kAAAAJ,https://scholar.google.com/citations?hl=en&user=HKy4T5kAAAAJ
Hoang-Vu Dang,aPA_2i8AAAAJ,https://scholar.google.com/citations?hl=en&user=aPA_2i8AAAAJ
Michael Franklin,p0sQC6sAAAAJ,https://scholar.google.com/citations?hl=en&user=p0sQC6sAAAAJ
Ion Stoica,vN-is70AAAAJ,https://scholar.google.com/citations?hl=en&user=vN-is70AAAAJ
Alberto Trombetta,ZEJ2MnYAAAAJ,https://scholar.google.com/citations?hl=en&user=ZEJ2MnYAAAAJ
Daniël Reijsbergen,rvDPqW4AAAAJ,https://scholar.google.com/citations?hl=en&user=rvDPqW4AAAAJ
Gunnar Kreitz,wlbFBokAAAAJ,https://scholar.google.com/citations?hl=en&user=wlbFBokAAAAJ
Paulina Adamska,JwXPn9wAAAAJ,https://scholar.google.com/citations?hl=en&user=JwXPn9wAAAAJ
Wolfgang Nejdl,LC62bdYAAAAJ,https://scholar.google.com/citations?hl=en&user=LC62bdYAAAAJ
Beng Chin OOI,9560QjYAAAAJ,https://scholar.google.com/citations?hl=en&user=9560QjYAAAAJ
Jie Zhang,IFV_RdMAAAAJ,https://scholar.google.com/citations?hl=en&user=IFV_RdMAAAAJ
David Eckhoff,eWPewRoAAAAJ,https://scholar.google.com/citations?hl=en&user=eWPewRoAAAAJ
Iva Bojic,yJZDSCoAAAAJ,https://scholar.google.com/citations?hl=en&user=yJZDSCoAAAAJ
Milind Ganjoo,vzO01jEAAAAJ,https://scholar.google.com/citations?hl=en&user=vzO01jEAAAAJ
Ekanshi Agrawal,DfHJ9qIAAAAJ,https://scholar.google.com/citations?hl=en&user=DfHJ9qIAAAAJ
Hani Salah,P2VhKn4AAAAJ,https://scholar.google.com/citations?hl=en&user=P2VhKn4AAAAJ
Sajal K. Das,mbaG-mQAAAAJ,https://scholar.google.com/citations?hl=en&user=mbaG-mQAAAAJ
Ariel Neufeld,6sj6IAoAAAAJ,https://scholar.google.com/citations?hl=en&user=6sj6IAoAAAAJ
